date,account,description,reference,contact,debit,credit
2026-03-02,Sales,Wholesale juice order,INV-3011,FreshMart Pte Ltd,0,18240
2026-03-02,Accounts receivable,Wholesale juice order,INV-3011,FreshMart Pte Ltd,18240,0
2026-03-05,Cost of goods sold,Mango puree and bottles,BILL-884,Tropics Produce Pte Ltd,8240,0
2026-03-05,Accounts payable,Mango puree and bottles,BILL-884,Tropics Produce Pte Ltd,0,8240
2026-03-08,Bank charges,Merchant settlement fee,BANK-308,DBS Bank,145,0
2026-03-08,Cash and cash equivalents,Merchant settlement fee,BANK-308,DBS Bank,0,145
2026-03-12,Marketing,Social ad campaign,MKT-220,Creative Social Studio,3200,0
2026-03-12,Accounts payable,Social ad campaign,MKT-220,Creative Social Studio,0,3200
2026-03-18,Salaries,March payroll,PAY-0331,Staff Payroll,24150,0
2026-03-18,Cash and cash equivalents,March payroll,PAY-0331,Staff Payroll,0,24150
2026-03-24,Delivery expense,Same-day fulfilment,DEL-118,Cold Chain Logistics,2140,0
2026-03-24,Accounts payable,Same-day fulfilment,DEL-118,Cold Chain Logistics,0,2140
